STARTDATE,ENDDATE,LASTMONTH,LASTYEAR,SAMEMONTH,MAXMINRATIO,STATENAME,MANDINAME,COMMODITY,NUMBER_OF_MATCHED,TEXT,PUBLISHEDDATE,AVG_COSINE,ARTICLETITLE,ARTICLEURL,CENTRENAME,FILETYPE
2017-04-23,2017-06-05,Anomaly,Anomaly,Anomaly,1.160507052312087,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2020-03-22,2020-05-04,Anomaly,Anomaly,Anomaly,1.1567493383001666,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2019-08-11,2019-09-23,Anomaly,Anomaly,Anomaly,1.1536982438148955,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-04-19,2020-06-01,Anomaly,Anomaly,Anomaly,1.152805552287966,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2020-08-16,2020-09-28,Anomaly,Anomaly,Anomaly,1.1469463778060975,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2020-08-23,2020-10-05,Anomaly,Anomaly,Anomaly,1.1469463778060975,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2020-12-06,2021-01-18,Anomaly,Anomaly,Anomaly,1.1457139881262368,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2019-04-28,2019-06-10,Anomaly,Anomaly,Anomaly,1.1387307318427995,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2019-05-05,2019-06-17,Anomaly,Anomaly,Anomaly,1.1387307318427995,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2019-08-18,2019-09-30,Anomaly,Anomaly,Anomaly,1.1367871494273665,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-08-09,2020-09-21,Anomaly,Anomaly,Anomaly,1.1248918373233343,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2017-04-30,2017-06-12,Anomaly,Anomaly,Anomaly,1.1247991430101767,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2020-02-09,2020-03-23,Anomaly,Anomaly,Anomaly,1.1203469461510662,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2020-10-11,2020-11-23,Anomaly,Anomaly,Anomaly,1.1180801745295883,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-10-18,2020-11-30,Anomaly,Anomaly,Anomaly,1.1180801745295883,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-10-25,2020-12-07,Anomaly,Anomaly,Anomaly,1.1180801745295883,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2019-08-25,2019-10-07,Anomaly,Anomaly,Anomaly,1.1109739538328602,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2017-04-30,2017-06-12,Anomaly,Anomaly,Anomaly,1.1109053878911312,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2020-02-02,2020-03-16,Anomaly,Anomaly,Anomaly,1.1083002047946031,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2020-04-26,2020-06-08,Anomaly,Anomaly,Anomaly,1.0822256205152334,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2020-05-03,2020-06-15,Anomaly,Anomaly,Anomaly,1.0822256205152334,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2017-05-14,2017-06-26,Anomaly,Anomaly,Anomaly,1.0767160161507403,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2017-05-21,2017-07-03,Anomaly,Anomaly,Anomaly,1.0767160161507403,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2017-05-07,2017-06-19,Anomaly,Anomaly,Anomaly,1.0738752082947602,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2017-05-21,2017-07-03,Anomaly,Anomaly,Anomaly,1.0738752082947602,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2017-05-28,2017-07-10,Anomaly,Anomaly,Anomaly,1.0738752082947602,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2019-09-01,2019-10-14,Anomaly,Anomaly,Anomaly,1.0713010355910009,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-09-08,2019-10-21,Anomaly,Anomaly,Anomaly,1.0713010355910009,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-09-15,2019-10-28,Anomaly,Anomaly,Anomaly,1.0713010355910009,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2017-05-07,2017-06-19,Anomaly,Anomaly,Anomaly,1.0712372790573113,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2019-10-06,2019-11-18,Anomaly,Anomaly,Anomaly,1.0688426617630158,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-09-22,2019-11-04,Anomaly,Anomaly,Anomaly,1.0593976907511011,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-05-10,2020-06-22,Anomaly,Anomaly,Anomaly,1.058698976590989,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2017-05-28,2017-07-10,Anomaly,Anomaly,Anomaly,1.0574889444337627,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2020-05-10,2020-06-22,Anomaly,Anomaly,Anomaly,1.054829139654983,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2020-04-05,2020-05-18,Anomaly,Anomaly,Anomaly,1.0511922057943766,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2020-04-12,2020-05-25,Anomaly,Anomaly,Anomaly,1.0511922057943766,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2019-05-12,2019-06-24,Anomaly,Anomaly,Anomaly,1.0511472888091271,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2020-08-02,2020-09-14,Anomaly,Anomaly,Anomaly,1.044549593786269,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2019-09-29,2019-11-11,Anomaly,Anomaly,Anomaly,1.0347633996046972,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-06-21,2020-08-03,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-06-28,2020-08-10,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-07-05,2020-08-17,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-07-12,2020-08-24,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-07-19,2020-08-31,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-07-26,2020-09-07,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-08-02,2020-09-14,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-08-09,2020-09-21,Anomaly,Anomaly,Anomaly,1.0249145904507957,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-08-16,2020-09-28,Anomaly,Anomaly,Anomaly,1.0224853340073925,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-08-23,2020-10-05,Anomaly,Anomaly,Anomaly,1.0022417945506237,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-08-30,2020-10-12,Anomaly,Anomaly,Anomaly,0.9999187057962768,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-09-06,2020-10-19,Anomaly,Anomaly,Anomaly,0.9999187057962768,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-09-13,2020-10-26,Anomaly,Anomaly,Anomaly,0.9999187057962768,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-09-20,2020-11-02,Anomaly,Anomaly,Anomaly,0.9999187057962768,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-09-27,2020-11-09,Anomaly,Anomaly,Anomaly,0.9999187057962768,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-10-04,2020-11-16,Anomaly,Anomaly,Anomaly,0.9999187057962768,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-07-26,2020-09-07,Anomaly,Anomaly,Anomaly,0.9999145372190412,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2020-01-19,2020-03-02,Anomaly,Anomaly,Anomaly,0.9998795325864354,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2020-01-26,2020-03-09,Anomaly,Anomaly,Anomaly,0.9998795325864354,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2020-01-26,2020-03-09,Anomaly,Anomaly,Normal,1.3550848572556242,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-03-22,2020-05-04,Anomaly,Anomaly,Normal,1.2549739822467094,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2020-04-05,2020-05-18,Anomaly,Anomaly,Normal,1.2369858777445624,ANDHRA PRADESH,KARIMNAGAR,GREEN GRAM DAL (MOONG DAL),,,,,,,KARIMNAGAR,MANDI
2019-10-13,2019-11-25,Anomaly,Anomaly,Normal,1.2301013024577359,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2017-04-16,2017-05-29,Anomaly,Anomaly,Normal,1.1962149616139974,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2019-10-20,2019-12-02,Anomaly,Anomaly,Normal,1.1921548519420586,ODISHA,BERHAMPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2019-10-20,2019-12-02,Anomaly,Anomaly,Normal,1.1748531433570804,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2019-10-27,2019-12-09,Anomaly,Anomaly,Normal,1.1748531433570804,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2019-10-20,2019-12-02,Anomaly,Anomaly,Normal,1.168603924507093,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2020-01-05,2020-02-17,Anomaly,Anomaly,Normal,1.1685339115769184,ANDHRA PRADESH,HYDERABAD,GREEN GRAM DAL (MOONG DAL),,,,,,,HYDERABAD,MANDI
2019-10-27,2019-12-09,Anomaly,Anomaly,Normal,1.1623547056617922,ODISHA,BERHAMPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2019-11-03,2019-12-16,Anomaly,Anomaly,Normal,1.1623547056617922,ODISHA,BERHAMPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2020-03-15,2020-04-27,Anomaly,Anomaly,Normal,1.1567493383001666,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2019-11-03,2019-12-16,Anomaly,Anomaly,Normal,1.1462016827216193,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2020-04-12,2020-05-25,Anomaly,Anomaly,Normal,1.1427405366799306,ANDHRA PRADESH,HYDERABAD,GREEN GRAM DAL (MOONG DAL),,,,,,,HYDERABAD,MANDI
2020-05-03,2020-06-15,Anomaly,Anomaly,Normal,1.1414017545514574,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2019-10-27,2019-12-09,Anomaly,Anomaly,Normal,1.1401048652580479,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2020-04-05,2020-05-18,Anomaly,Anomaly,Normal,1.1362603399690938,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2019-10-20,2019-12-02,Anomaly,Anomaly,Normal,1.1353373758224743,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2019-10-20,2019-12-02,Anomaly,Anomaly,Normal,1.1297234125438256,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2020-01-12,2020-02-24,Anomaly,Anomaly,Normal,1.1277758400186024,ANDHRA PRADESH,HYDERABAD,GREEN GRAM DAL (MOONG DAL),,,,,,,HYDERABAD,MANDI
2019-10-20,2019-12-02,Anomaly,Anomaly,Normal,1.124859392575928,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2019-10-27,2019-12-09,Anomaly,Anomaly,Normal,1.124859392575928,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2019-12-29,2020-02-10,Anomaly,Anomaly,Normal,1.1207559608834194,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-10-27,2019-12-09,Anomaly,Anomaly,Normal,1.1137830654347551,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2019-11-03,2019-12-16,Anomaly,Anomaly,Normal,1.0998706034562111,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2020-03-08,2020-04-20,Anomaly,Anomaly,Normal,1.0989010989010992,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-03-15,2020-04-27,Anomaly,Anomaly,Normal,1.0989010989010992,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-03-22,2020-05-04,Anomaly,Anomaly,Normal,1.0989010989010992,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-11-10,2019-12-23,Anomaly,Anomaly,Normal,1.092896174863388,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2019-10-13,2019-11-25,Anomaly,Anomaly,Normal,1.091828525456844,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-01-12,2020-02-24,Anomaly,Anomaly,Normal,1.0887679146761469,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2020-01-05,2020-02-17,Anomaly,Anomaly,Normal,1.08499095840868,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-10-20,2019-12-02,Anomaly,Anomaly,Normal,1.079422792864447,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-10-27,2019-12-09,Anomaly,Anomaly,Normal,1.079422792864447,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-11-03,2019-12-16,Anomaly,Anomaly,Normal,1.079422792864447,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2019-11-10,2019-12-23,Anomaly,Anomaly,Normal,1.079422792864447,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-05-10,2020-06-22,Anomaly,Anomaly,Normal,1.0776580379957783,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2020-03-29,2020-05-11,Anomaly,Anomaly,Normal,1.0760879916198458,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2017-05-14,2017-06-26,Anomaly,Anomaly,Normal,1.0738752082947602,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2019-11-03,2019-12-16,Anomaly,Anomaly,Normal,1.0713010355910009,ODISHA,CUTTACK,GREEN GRAM DAL (MOONG DAL),,,,,,,CUTTACK,MANDI
2020-01-12,2020-02-24,Anomaly,Anomaly,Normal,1.0623893344443287,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-04-12,2020-05-25,Anomaly,Anomaly,Normal,1.059232268451826,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-04-19,2020-06-01,Anomaly,Anomaly,Normal,1.059232268451826,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-04-26,2020-06-08,Anomaly,Anomaly,Normal,1.059232268451826,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-05-03,2020-06-15,Anomaly,Anomaly,Normal,1.059232268451826,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
2020-05-17,2020-06-29,Anomaly,Anomaly,Normal,1.0560611167284577,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2020-05-24,2020-07-06,Anomaly,Anomaly,Normal,1.0560611167284577,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2020-05-10,2020-06-22,Anomaly,Anomaly,Normal,1.0542332355178785,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2020-01-19,2020-03-02,Anomaly,Anomaly,Normal,1.051437996082878,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-04-19,2020-06-01,Anomaly,Anomaly,Normal,1.0511922057943766,ANDHRA PRADESH,VISAKHAPATNAM,GREEN GRAM DAL (MOONG DAL),,,,,,,VISAKHAPATNAM,MANDI
2020-06-07,2020-07-20,Anomaly,Anomaly,Normal,1.0453357573003068,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2020-05-17,2020-06-29,Anomaly,Anomaly,Normal,1.0443284079546715,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2020-05-24,2020-07-06,Anomaly,Anomaly,Normal,1.0443284079546715,ODISHA,BHUBANESHWAR,GREEN GRAM DAL (MOONG DAL),,,,,,,BHUBANESHWAR,MANDI
2020-05-17,2020-06-29,Anomaly,Anomaly,Normal,1.0433648516465601,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2020-01-26,2020-03-09,Anomaly,Anomaly,Normal,1.0407101316192224,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2017-05-28,2017-07-10,Anomaly,Anomaly,Normal,1.036175240865297,ODISHA,SAMBALPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,SAMBALPUR,MANDI
2020-04-05,2020-05-18,Anomaly,Anomaly,Normal,1.0359427078641563,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-04-12,2020-05-25,Anomaly,Anomaly,Normal,1.0359427078641563,ANDHRA PRADESH,VIJAYWADA,GREEN GRAM DAL (MOONG DAL),,,,,,,VIJAYWADA,MANDI
2020-06-21,2020-08-03,Anomaly,Anomaly,Normal,1.0343638662222734,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2020-05-31,2020-07-13,Anomaly,Anomaly,Normal,1.0335917312661498,ODISHA,BALASORE,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2019-11-10,2019-12-23,Anomaly,Anomaly,Normal,1.033218531274303,ODISHA,BERHAMPUR,GREEN GRAM DAL (MOONG DAL),,,,,,,,MANDI
2020-05-10,2020-06-22,Anomaly,Anomaly,Normal,1.0287219158916965,ANDHRA PRADESH,TIRUPATHI,GREEN GRAM DAL (MOONG DAL),,,,,,,TIRUPATHI,MANDI
